,id,votes,category,name,voted,added,url,is_big
81,89,12.0,other,Дитяче дозвілля замість пустиря в с.Зашків вул.о.Мармаша,True,11.09.2021,https://lviv.pb.org.ua/projects/89,False
82,90,24.0,other,Життя - це дія,True,11.09.2021,https://lviv.pb.org.ua/projects/90,False
83,91,148.0,education,"ЧИСТА ВОДА в школах Франківського, Личаківського і Сихівського районів Львова",True,12.09.2021,https://lviv.pb.org.ua/projects/91,True
84,92,7.0,other,"Тротуар, дорога та благоустрій території біля смітників навпроти Роксоляни № 57-59",True,12.09.2021,https://lviv.pb.org.ua/projects/92,False
85,94,68.0,other,Влаштування кільцевого руху автомобілів на небезпечному перехресті в смт. Брюховичі,True,12.09.2021,https://lviv.pb.org.ua/projects/94,False
86,95,39.0,other,"Облаштування Парку-скверу по вул. Карманського, 6А та І.Франка 157Б",True,12.09.2021,https://lviv.pb.org.ua/projects/95,False
87,96,,other,"Облаштування дитячого майданчика на новому мікрорайоні ""Підлужки"" м.Дубляни",False,12.09.2021,https://lviv.pb.org.ua/projects/96,False
88,98,,other,"Повна реконструкція дитячого майданчика по вул. Некрасова, 57 за Європейським зразком Брав участь ДО",False,12.09.2021,https://lviv.pb.org.ua/projects/98,False
89,99,194.0,other,"Облаштування дитячого майданчика за адресою: пр. Червоної Калини, 58",True,13.09.2021,https://lviv.pb.org.ua/projects/99,False
90,100,208.0,education,« Інтерактивний ХАБ для дошкільнят здо № 134 »,True,13.09.2021,https://lviv.pb.org.ua/projects/100,False
91,101,248.0,education,Життя без болю (реабілітаційне обладнання для дітей),True,13.09.2021,https://lviv.pb.org.ua/projects/101,False
92,102,11.0,education,Облаштування дитячих ігрових майданчиків на території Зашківського ЗДО,True,13.09.2021,https://lviv.pb.org.ua/projects/102,False
93,103,1.0,other,Лазанка в парку Франка,True,13.09.2021,https://lviv.pb.org.ua/projects/103,False
94,104,165.0,education,Безпечне дозвілля в країні знань,True,13.09.2021,https://lviv.pb.org.ua/projects/104,False
95,105,,education,«ОБЛАШТУВАННЯ ДИТЯЧИХ МАЙДАНЧИКІВ ЗДО № 149»,False,13.09.2021,https://lviv.pb.org.ua/projects/105,False
96,106,157.0,education,Сучасний харчоблок ліцею № 15 - запорука здоров'я школярів,True,13.09.2021,https://lviv.pb.org.ua/projects/106,True
97,107,104.0,education,ПОКРАЩЕННЯ БЛАГОУСТРОЮ ДИТЯЧОГО САДОЧКА МІСТА ВИННИКИ,True,13.09.2021,https://lviv.pb.org.ua/projects/107,False
98,108,145.0,education,Благоустрій території школи №77,True,13.09.2021,https://lviv.pb.org.ua/projects/108,False
99,109,15.0,other,Тротуарна доріжка в районі вулиці Княгині Ольги 120 -122,True,13.09.2021,https://lviv.pb.org.ua/projects/109,False
100,110,92.0,education,Дитячі клуби Львова в м. Винники. Створення безкоштовного креативного простору для дітей та молоді.,True,13.09.2021,https://lviv.pb.org.ua/projects/110,True
101,111,63.0,education,Сучасна лабораторія фізики у СЗШ №50,True,13.09.2021,https://lviv.pb.org.ua/projects/111,False
102,112,154.0,other,"Сквер ""Золото Полуботка""",True,13.09.2021,https://lviv.pb.org.ua/projects/112,False
103,113,277.0,other,"""Простір Пам’яті"" в смт. Рудно",True,13.09.2021,https://lviv.pb.org.ua/projects/113,True
104,114,115.0,other,Дитяча Мрія на Вернадського,True,13.09.2021,https://lviv.pb.org.ua/projects/114,False
105,115,122.0,other,Облаштування театральної майстерні в Палаці Хоткевича,True,13.09.2021,https://lviv.pb.org.ua/projects/115,False
106,116,412.0,education,Школа починається з порогу,True,13.09.2021,https://lviv.pb.org.ua/projects/116,False
107,117,56.0,education,Благоустрій подвір’я Львівської музичної школи №3.,True,13.09.2021,https://lviv.pb.org.ua/projects/117,False
108,118,341.0,education,«Наша нова їдальня. Смачно. Затишно. Сучасно».,True,13.09.2021,https://lviv.pb.org.ua/projects/118,True
109,119,133.0,education,Нехай б'ється серце дитини!,True,13.09.2021,https://lviv.pb.org.ua/projects/119,True
110,120,3.0,other,"Мультифункціональний дитячий майданчик по вулиці вул.С.Литвиненка, 10-12",True,13.09.2021,https://lviv.pb.org.ua/projects/120,False
111,121,13.0,education,Реабілітація – шанс на повноцінне життя,True,13.09.2021,https://lviv.pb.org.ua/projects/121,False
112,122,230.0,other,Мультиспортивний майданчик з дитячою ігровою зоною на вул. Студентській,True,13.09.2021,https://lviv.pb.org.ua/projects/122,True
